wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-8.wav|What do you want to know?
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-61.wav|Then we should ask him for a run-down of the area, get me up to speed. I understand the scene is out back, right?
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-62.wav|No, I don't think so.. We should ask him for a run-down of the area now that I'm here as well. I understand the scene is out back, right?
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-63.wav|It also wouldn't hurt to assure him the police are finally here. In full force, I mean. Have you mapped out the initial interviews?
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-73.wav|At the 57th, we like to prepare an initial list of persons of interest and then just... skim the surface.. Prepare the field, get to know the players. You don't do that? Maybe it's not an inter-district practice...
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-74.wav|Okay. We'll have time for that after we take a look at the coroner's case.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-75.wav|Good. But even if you haven't, we'll have time for that after we take a look at the coroner's case.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-78.wav|Right, and the interviews?
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-89.wav|Does that mean the body is no longer in the tree?
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-90.wav|So, the body is still in the tree...
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-92.wav|Completely? Does that mean you took the body down from the tree?
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-93.wav|...where it has been hanging for seven days straight. We should go there as soon as we're done talking to the owner.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-99.wav|We all feel that way sometimes. There is no such thing as a police officer, I'm afraid. What remains is that there is a dead body in the tree, someone has to figure out who put it there. If we don't, no one else will.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-101.wav|I was sent here to meet a detective from Precinct 41. You have the insignia of the Citizens Militia on your sleeve and on your back.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-102.wav|I suppose you could be impersonating him. You could have gotten the insignia from the black market or forged it. But for now I am going to set those possibilities aside. I'm not from the Inspectorate General.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-106.wav|No need for derogatory terms. They are only doing their job.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-107.wav|Yes. But I am not them. I'm from Criminal Investigation.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-109.wav|Internal affairs. And I'm not them. I'm from Criminal Investigation.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-110.wav|I can see you drank last night, and the night before,. And that you are still drunk now. But I have seen officers go through worse. Much worse.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-111.wav|If you need something for your headache, there is a general store nearby. But, as I said, the dead body should be our number one concern.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-114.wav|You mean you don't have a badge?
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-116.wav|Losing your identification card is a serious matter. My vehicle has a shortwave, you can use it to report your badge missing. I would advise you to locate it as quickly as possible. But getting the body down should still take precedence.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-121.wav|They're not just white rectangles. They bear a halogen watermark with the letters RCM and a pattern resembling the street grid of Revachol West.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-122.wav|I would ask you to step into the headlights of my motor carriage, but, again, it's none of my concern. I just need you to do your job.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-126.wav|Sure. But did you take it down from the tree?
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-128.wav|Talk to the manager. Then we go out back and take the body down.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-132.wav|After you, officer.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-134.wav|Have you removed the dead body from the tree?
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-136.wav|Oh.... If you didn't have your badge then that would be very bad. You would need to report it on my shortwave. But since you do have it, we can go straight to the task at hand.
wavs/fixed-Kim Kitsuragi-WHIRLING  KIM INTRO-152.wav|But first we have to take it down,
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-159.wav|I was to meet a detective from Precinct 41 at the Whirling-in-Rags who arrived here three days ago. I am told that that is how long you have been here. Besides, you match his description.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-161.wav|Precinct 41 said they were sending their most seasoned detective. And you certainly look... seasoned.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-165.wav|Sure. Though I would also suggest that you locate your blazer with your official insignia.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-166.wav|However, I would also suggest that you locate your blazer with your official insignia.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-167.wav|You may have murdered the man I was supposed to meet and are now impersonating him. You may be his twin, stepping in for his even more incapacitated brother out of loyalty and love.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-168.wav|But for now I am going to set those possibilities aside. I'm not from the Inspectorate General.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-170.wav|Internal affairs. And I'm not them. I'm from Criminal Investigation.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-171.wav|No need for derogatory terms. They are only doing their job.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-178.wav|Yes. But I am not them. I'm from Criminal Investigation.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-179.wav|Regardless, I would also suggest that you locate your blazer with your official insignia.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-189.wav|You mean you don't have a badge?
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-192.wav|Losing your identification card is a serious matter. My vehicle has a shortwave, you can use it to report your badge missing. I advise you to try to locate it as quickly as possible. But getting the body down should still take precedence.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-193.wav|Oh.... If you didn't have your badge then that would be very bad. You would need to report it on my shortwave. But since you do have it, we can go straight to the task at hand.
wavs/Kim Kitsuragi-WHIRLING  KIM INTRO-198.wav|After it's been up in a tree for that long, any kind of ripping is inadvisable.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-47.wav|Maybe you can tell me what you do know? To help me narrow it down a bit.
wavs/fixed-Kim Kitsuragi-WHIRLING  KIM MAIN-53.wav|Then you're in luck, because we're in the midst of a major strike by the Dockworkers' Union. Maybe more than that. The Union clearly wants a piece, not just of the Industrial Harbour, but the Wild Pines corporation itself...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-61.wav|I'm afraid you and I are pawns in a.... A pissing competition.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-167.wav|I wouldn't say that. And my case load is measly, but that's beside the point...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-5.wav|Well, you were so hungover that you couldn't keep it down when we approached the hanged man, so we didn't even inspect the body.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-6.wav|Well, we didn't even look at the body...
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-6-0.wav|Well, we didn't really look at the body...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-7.wav|Well, we inspected the victim's body. So that's good, it was not easily approachable in that state, but we did it.
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-7-0.wav|We performed a thorough initial inspection of the victim's body. So that's good. One could say it's the main thing to do in a murder.
wavs/alternative-1-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-7-1.wav|We performed a cursory initial inspection of the victim's body.
wavs/alternative-2-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-7-2.wav|Our initial inspection of the victim's body wasn't as thorough as it might have been.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-14.wav|Then you shot him in the chest, which... wasn't ideal. And we still have to get him down from the tree.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-15.wav|Then you shot the body down, which was.... ...quite the shot.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-22.wav|Then you shot him in the chest, which... wasn't ideal. But we did manage to get him down from the tree. So, as they say, all's well that ends well.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-26.wav|Our inspection was also very thorough, and we've already started following up on leads.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-30.wav|I would say our initial inspection was very thorough, and we have solid leads to follow up on.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-31.wav|Our inspection could have been more thorough, as it always can, but we have some leads we can follow up on.
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-31-0.wav|Our inspection left something to be desired and didn't produce enough solid leads, though.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-38.wav|Moreover, you found that the hanged man wasn't just hanged, he was also shot. That was some excellent detective work.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-42.wav|And you managed to locate and pull out the bullet. So we can get ballistics, make of the gun, all this is invaluable.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-51.wav|Me too,. But I wouldn't count on any drastic changes in our lifetimes.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-52.wav|Probably not,. Anyway, positive change happens slowly. We never really get to see the impact of our actions.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-53.wav|That seems unwise to me, but it's too late for an all-out political debate.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-61.wav|Now, as for interviews, my list of people to talk to here in Martinaise, I mean...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-65.wav|We conducted an interview with Evrart Claire.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-75.wav|We couldn't conduct an interview with Evrart Claire because you refused to take a seat.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-76.wav|We met Evrart Claire, but you left the conversation abruptly before we could really interview him.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-77.wav|We met Evrart Claire, but didn't conduct a full interview. So that's one for the to-do list...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-81.wav|The body is still hanging from that tree, which is... unfortunate. And there's still much to do at the crime scene.
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-81-0.wav|The body is still hanging from that tree, which is... unfortunate. But we performed a thorough search of the premises of the crime scene, that's great.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-82.wav|I still feel like we're missing something. And there's still work to do at the crime scene too...
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-82-0.wav|I still feel like we're missing something. But we performed a thorough search of the premises of the crime scene. That's great.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-83.wav|I still feel like we missed something, but at least the corpse has been refrigerated. There's still work to be done at the crime scene, though.
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-83-0.wav|I still feel like we missed something, but at least the corpse has been refrigerated. And we performed a thorough search of the premises of the crime scene. That's great.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-84.wav|I still feel like we missed something, but maybe the boys in Processing will surprise us. We still have work to do at the crime scene.
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-84-0.wav|I still feel like we missed something, but it's up to the boys in Processing now. We did perform a thorough search of the crime scene. That's great.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-85.wav|We didn't get to meet Evrart Claire, but we did get into the harbour. It'll be easier to reach him tomorrow.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-86.wav|We weren't able to find the Union leader, Evrart Claire, much less interview him. So that's on the to-do list for tomorrow.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-90.wav|We interviewed Joyce Messier, the Wild Pines rep, and learned a lot, none of it very good news for us or Martinaise, but...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-94.wav|We tried to interview the Wild Pines rep, but she asked us to do something for her first. Fine. So be it.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-98.wav|We talked to Joyce Messier, but didn't get any information from her.. I have a feeling Joyce knows how dangerous the situation really is. We have to get her to talk to us.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-99.wav|We didn't talk to the Wild Pines rep. We really must do that tomorrow.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-100.wav|Above all, though... today was exhausting. What's with all the running? You run a lot. Is that a standard Precinct 41 practice?
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-105.wav|It's impressive, especially for a man your age, and in those heels...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-106.wav|Where shall we begin? We should talk about the investigation first and foremost, but I also remember you wanting to discuss the RCM?
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-111.wav|Yes, although indirectly, as citizens can always request records from their local station.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-112.wav|Officers of the RCM have been known to take bribes of less than the prescribed fine amount.. It undermines trust in the RCM.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-113.wav|The RCM's primary role is to ensure safety. We're not really supposed to play any part in the economic structure of Revachol.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-114.wav|We can arrest people, of course, but, rather than bringing someone in directly, it's preferable to serve a Station Call slip. It prevents confusion and overcrowding.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-117.wav|You can't. Those who don't show up become fugitives though, and have fewer legal rights when they are eventually caught. It's about power projection. Thus far they seem to mostly show up.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-119.wav|We are permitted to use whatever force we deem necessary. Even lethal.
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-119-0.wav|As you may have gathered from the fact that we are expected to carry a record of our kills, like the one in your watermarks, we're permitted to use whatever force is necessary. And strongly admonished not to abuse that power.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-123.wav|You have to supply compelling evidence for why it was necessary to use lethal force. In these cases, your partner is usually your witness.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-124.wav|Yes.. The last time was four years ago.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-125.wav|That's an improbability, perhaps even impossibility...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-126.wav|Not a good position to be in, by the way. Internal Affairs handles these cases thoroughly, by cross-examining you for inconsistencies. It is hard to cover for anyone. Which is for the best.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-135.wav|Precinct 41 is known for... a higher-than-average rate of police violence.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-136.wav|Perhaps. But Precinct 41 is known for... a higher-than-average rate of kills.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-140.wav|And the Moralintern more broadly, but yes.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-144.wav|The Coalition Government and the Moralintern more broadly.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-145.wav|The RCM was formed by the Coalition Government to restore order in the International Zone after the Revolution. So we did. Now we attempt to maintain that order, no more, no less.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-146.wav|Or... perhaps it is better to say we were allowed to form. It's a point of contention whether the citizens of Revachol or the Coalition Government founded the RCM.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-182.wav|You really got him talking, and now we know a lot about local politics, including Claire's ambitions and drug trade, and also have some viable suspects.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-183.wav|You really got him talking, and now we know a lot about local politics, including Claire's drug trade, and also have some viable suspects.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-184.wav|You really got him talking, and now we know a lot about the union, and also have some viable suspects.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-185.wav|You got him to talk to you about both the Union and the murder, so we're definitely making progress there.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-186.wav|You got him to talk to you about the Union, but he wouldn't talk to you about the murder without having you do a favour for him first.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-187.wav|You got him to talk to you about the Union and even his drug trade, but he wouldn't talk to you about the murder without having you do a favour for him first.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-188.wav|You got him to talk to you about the Union and even his drug trade, but he wouldn't talk to you about the murder.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-189.wav|You got him to talk to you about the Union, but not the murder.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-190.wav|Though he wasn't forthcoming about the Union, you got him talking about the murder. Good one, that.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-191.wav|Though he wasn't forthcoming about the Union, you got him talking about the murder, and now we have some viable suspects.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-192.wav|Though he wasn't forthcoming about the Union, you got him talking about the murder, and now we have some viable suspects. Moreover, we learned something about Claire's personal ambitions in all of this.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-196.wav|He wasn't particularly forthcoming with useful information, however.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-197.wav|Yeah, it's getting very cold now. Let's go.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-203.wav|And there's still much to do at the crime scene too. We didn't search it thoroughly enough.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-204.wav|But we performed a thorough search of the premises of the crime scene. That's great.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-213.wav|It's not my job to evaluate your methodology, officer. I'm just going through the facts. As for the interviews...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-214.wav|We're both doing our best under the circumstances. Just... don't drink tonight, please. As for the interviews...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-215.wav|What if this murder is a portent? As for the interviews...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-216.wav|We're both doing our best under the circumstances. Just... don't drink tonight, please. As for the interviews...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-217.wav|It's not my job to evaluate your methodology, officer. I'm just going through the facts. As for the interviews...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-218.wav|What if this murder is a portent? As for the interviews...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-227.wav|Right. As for the interviews...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-228.wav|Being sober also tends to help with precision. But, moving on to the interviews...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-229.wav|Being sober tends to help with precision. But, moving on to the interviews...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-230.wav|On this occasion, I must agree. At any rate, your shot enabled us to perform a field autopsy on the victim. We didn't learn much, though.
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-230-0.wav|On this occasion, I must agree. At any rate, your shot enabled us to perform a field autopsy on the victim. We found some things we can really work with.
wavs/alternative-1-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-230-1.wav|On this occasion, I must agree. At any rate, your shot enabled us to perform a field autopsy on the victim. We didn't find as much as I'd hoped.
wavs/alternative-2-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-230-2.wav|On this occasion, I must agree. At any rate, your shot enabled us to perform a field autopsy on the victim. We didn't find as much as I'd hoped.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-231.wav|On this occasion, I must agree. We still have to perform the autopsy, though. And there's more work to be done at the crime scene.
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-231-0.wav|We still have to perform the autopsy, though. However, we did a thorough search of the crime scene.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-232.wav|I admit, I wasn't sure whether I should give you the gun, but I'm glad I did. We still have to perform the autopsy, though. And there's more work to be done at the crime scene.
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-232-0.wav|I admit, I wasn't sure whether I should give you the gun, but I'm glad I did. We still have to perform the autopsy, though. But we did do a thorough search of the crime scene, that's great.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-233.wav|It was something. We still have to perform a field autopsy, though. And there's more work to be done at the crime scene.
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-233-0.wav|It was something. We still have to perform a field autopsy, though. But we did do a thorough search of the crime scene, that's great.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-234.wav|I admit, I wasn't sure whether I should give you the gun, but I'm glad I did. Your shot enabled us to perform a field autopsy on the victim. I just wish we'd learned more.
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-234-0.wav|I admit, I wasn't sure whether I should give you the gun, but I'm glad I did. Your shot enabled us to perform a field autopsy on the victim. We found some things we can really work with.
wavs/alternative-1-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-234-1.wav|I admit, I wasn't sure whether I should give you the gun, but I'm glad I did. Your shot enabled us to perform a field autopsy on the victim. Alas, we didn't find as much as I'd hoped.
wavs/alternative-2-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-234-2.wav|I admit, I wasn't sure whether I should give you the gun, but I'm glad I did. Your shot enabled us to perform a field autopsy on the victim. Alas, we didn't find as much as I'd hoped.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-235.wav|It enabled us to perform a field autopsy on the victim. We didn't learn much, though.
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-235-0.wav|It enabled us to perform a field autopsy on the victim. We found some things we can really work with.
wavs/alternative-1-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-235-1.wav|It enabled us to perform a field autopsy on the victim. We didn't find as much as I'd hoped.
wavs/alternative-2-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-235-2.wav|It enabled us to perform a field autopsy on the victim. We didn't find as much as I'd hoped.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-237.wav|Unfortunately, the body is still decomposing in the yard. We should take care of that as soon as possible.
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-237-0.wav|The rest is up to the boys in Processing. Maybe they will surprise us by doing their job for once, but I wouldn't count on it.
wavs/alternative-1-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-237-1.wav|We haven't gotten the body out of the yard yet, but at least it's been refrigerated.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-238.wav|Unfortunately, the body is still decomposing in the yard. We should take care of that as soon as possible.
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-238-0.wav|The rest is up to the boys in Processing. Maybe they will surprise us by doing their job for once, but I wouldn't count on it.
wavs/alternative-1-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-238-1.wav|We haven't gotten the body out of the yard yet, but at least it's been refrigerated.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-239.wav|Unfortunately, the body is still decomposing in the yard. We should take care of that as soon as possible.
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-239-0.wav|The rest is up to the boys in Processing. Maybe they will surprise us by doing their job for once, but I wouldn't count on it.
wavs/alternative-1-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-239-1.wav|We haven't gotten the body out of the yard yet, but at least it's been refrigerated.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-240.wav|It would have been even better if we had been able to examine the bullet... but what really worries me is that the body is still decomposing in the yard.
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-240-0.wav|The rest is up to the boys in Processing. Maybe they will surprise us by doing their job for once, but I wouldn't count on it.
wavs/alternative-1-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-240-1.wav|It would have been better if we could have pulled out the bullet and sent the body to Processing. But at least we got the body refrigerated.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-258.wav|Very important indeed. Well, we conducted an interview with Evrart Claire.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-259.wav|I'm sure. Well, we conducted an interview with Evrart Claire.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-260.wav|Mhm, including Evrart Claire. A daunting adversary if there ever was one.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-261.wav|But, despite your misanthropy, we conducted an interview with Evrart Claire. No small task.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-262.wav|I'm glad we can agree on that, at least.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-263.wav|I hope your confidence will translate into results, officer.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-264.wav|One doesn't need to like the people one is interviewing. Indeed, it's better if you don't.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-265.wav|Not always the right people, I'm afraid.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-267.wav|I look forward to that. As for the interviews...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-269.wav|I look forward to that. As for the interviews...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-278.wav|Either way, we'll have to approach him again. Anyway...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-281.wav|As for the interviews...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-282.wav|As for the interviews...
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-286.wav|Right. Then we performed a field autopsy on the victim. We didn't learn much, though.
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-286-0.wav|Right. Then we performed a field autopsy on the victim. We found some things we can really work with.
wavs/alternative-1-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-286-1.wav|Right. Then we performed a field autopsy on the victim. We didn't find as much as I'd hoped.
wavs/alternative-2-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-286-2.wav|Right. Then we performed a field autopsy on the victim. We didn't find as much as I'd hoped.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-287.wav|Right. We still have to perform the autopsy, though. And there's more work to be done at the crime scene.
wavs/alternative-0-Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-287-0.wav|Right. We still have to perform the autopsy, though. But at least we did a thorough search of the crime scene.
wavs/Kim Kitsuragi-KIM SWITCH  DEBRIEF DAY ONE-288.wav|Being sober also tends to help with precision. Anyway, we performed a field autopsy on the victim. We didn't learn much, though.
